StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4E,Q5E,Q6E,Q7E,Q8E,Q4,Q4_5_TEXT,Q5,Q5b,Q5b_4_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_4_TEXT,Q15,Q16,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Organization name (official name as listed on Terrier Central),Organization Type (based on Splash color),"Does your organization hold ongoing general body meetings on a roughly weekly, biweekly, monthly, or similarly regular basis throughout the semester?",How many events has your organization hosted so far this semester?,Attendance at your first event this semester,Attendance at your most recent event,"If known, please list attendance numbers for intermediate events.",How confident are you in these attendance numbers?,What is the typical frequency of your primary recurring meeting? - Selected Choice,What is the typical frequency of your primary recurring meeting? - Other (specify) - Text,"Does your organization run multiple recurring meeting types (e.g., workshops + general meetings)?",Which meeting type represents the primary gathering for general members? - Selected Choice,Which meeting type represents the primary gathering for general members? - Other (please specify) - Text,How many primary recurring meetings have occurred so far this semester?,Attendance at your first primary meeting this semester,Attendance at your most recent primary meeting,"If known, please list attendance numbers for intermediate meetings. (Example format: Week 1: 42; Week 2: 38; Week 3: 31)","Were any of these primary meetings significantly boosted by special programming (e.g., alumni panel, collaboration, major guest)?",Briefly describe which week(s) and approximate attendance boost.,Is attendance fully voluntary for general members?,How confident are you in the attendance numbers provided?,Typical meeting or event day - Selected Choice,Typical meeting or event day - Varies - Text,Approximate size of executive board,Does your organization typically track attendance formally?,Optional: Is there any context this semester that significantly affected attendance?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID28""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_5_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_4_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID26""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_4_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID58_TEXT""}"
2026-03-04 06:15:49,2026-03-04 06:17:34,IP Address,128.197.28.181,100,105,True,2026-03-04 06:17:35,R_1dKD4g9cqRKpttR,,,,,42.3464,-71.0975,anonymous,EN,,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,Both equally central,,5,80,60,,No,,Largely required,Estimated but close,Weekday evening,,10,Yes,Spring break had fewer people attend! Because its midterm week + travels
2026-02-25 13:19:19,2026-02-25 13:19:27,IP Address,128.197.28.145,4,7,False,2026-03-04 13:19:34,R_5F4UiqRAc1CFGNj,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03 14:14:13,2026-03-03 14:14:17,IP Address,128.197.28.128,4,4,False,2026-03-10 15:14:18,R_7jeeoJHMaVqnj36,,,,,42.3464,-71.0975,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04 20:12:02,2026-03-04 20:12:21,IP Address,38.42.235.216,17,19,False,2026-03-11 21:12:26,R_30BH3CWJj5gjtNT,,,,,42.3464,-71.0975,anonymous,EN,,Performance and Media Arts,No,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 16:25:57,2026-03-14 16:30:32,IP Address,174.204.136.22,100,274,True,2026-03-14 16:30:32,R_15MA0QFJTybecMj,,,,,40.7828,-73.9745,anonymous,EN,Consulting Group,Academic and Pre-Professional,Yes,,,,,,Weekly,,Yes,Workshop series,,10,44,42,,No,,Largely required,Estimated but close,Weekday evening,,17,Yes,
2026-03-14 21:18:36,2026-03-14 21:20:28,IP Address,107.127.42.63,100,112,True,2026-03-14 21:20:28,R_6mihkr8Oc9xD6UN,,,,,40.7399,-74.1691,anonymous,EN,Delta Kappa Alpha,Performance and Media Arts,Yes,,,,,,Weekly,,Yes,General body meeting,,7,50,40,No,No,,Mostly voluntary,Estimated but close,Weekday evening,,8,Sometimes,
2026-03-16 08:14:22,2026-03-16 08:19:46,IP Address,128.197.28.140,100,323,True,2026-03-16 08:19:46,R_7qzAJoXyNkO0Pg5,,,,,42.3464,-71.0975,anonymous,EN,Hearts for the Homeless Boston,"Community, Peace and Justice",No,1,25,25,10,Estimated but close,,,,,,,,,,,,,,Weekday evening,,8,Sometimes,
2026-03-17 13:05:04,2026-03-17 13:13:45,IP Address,128.197.28.135,100,520,True,2026-03-17 13:13:47,R_3lGftZovTAxVv56,,,,,42.3464,-71.0975,anonymous,EN,Environmental Student Organization,"Community, Peace and Justice",Yes,,,,,,Weekly,,Yes,Both equally central,,8,12,21,Week 2: 13 Week 3: 16 Week 4: 21 Other weeks no data due to collabs,Yes,Week 2: attendance boost 2,Mostly voluntary,Exact counts from sign-in logs,Weekday evening,,9,Yes,First general meeting was on zoom and several meetings were postponed/canceled due to snow
